lapTime	speed_Mph	gas	brake	steer	gear	x	y	z
63.666	71.8436279296875	0.7401530742645264	0.0	-17.53510093688965	3	-197.19139099121094	-69.26924896240234	-13.893610000610352
63.699	71.98892974853516	0.754081666469574	0.0	-17.618999481201172	3	-196.1853790283203	-69.16455078125	-13.572608947753906
63.732	72.21412658691406	0.7640816569328308	0.0	-16.989749908447266	3	-195.1753387451172	-69.06002044677734	-13.254319190979004
63.765	72.4261703491211	0.7690306305885315	0.0	-15.940999031066895	3	-194.1610870361328	-68.95443725585938	-12.939142227172852
63.789	72.58454895019531	0.7780101895332336	0.0	-15.185900688171387	3	-193.4207763671875	-68.87673950195312	-12.712135314941406
63.822	72.8327407836914	0.7830101251602173	0.0	-14.346899032592773	3	-192.39889526367188	-68.76939392089844	-12.402847290039062
63.855	73.0785903930664	0.7909693717956543	0.0	-13.927399635314941	3	-191.3720245361328	-68.66160583496094	-12.097246170043945
63.888	73.24877166748047	0.794948935508728	0.0	-13.465950012207031	3	-190.34080505371094	-68.55178833007812	-11.79606819152832
63.912	73.4051284790039	0.794948935508728	0.0	-13.214250564575195	3	-189.58853149414062	-68.47250366210938	-11.57915210723877
63.945	73.70988464355469	0.794948935508728	0.0	-13.25619888305664	3	-188.54953002929688	-68.3641357421875	-11.283285140991211
63.978	73.9535140991211	0.794948935508728	0.0	-13.130351066589355	3	-187.5052032470703	-68.25465393066406	-10.99173355102539
64.011	74.15550231933594	0.794948935508728	0.0	-12.920600891113281	3	-186.45643615722656	-68.1454086303711	-10.704483032226562
64.032	74.33932495117188	0.794948935508728	0.0	-12.962550163269043	3	-185.7865447998047	-68.07707977294922	-10.52351188659668
64.065	74.62195587158203	0.794948935508728	0.0	-13.382050514221191	3	-184.7289581298828	-67.9710693359375	-10.242201805114746
64.101	74.87051391601562	0.794948935508728	0.0	-14.262999534606934	3	-183.56968688964844	-67.85972595214844	-9.938838005065918
64.122	74.96053314208984	0.7959694266319275	0.0	-14.724449157714844	3	-182.89117431640625	-67.79702758789062	-9.763837814331055
64.155	75.11661529541016	0.7959694266319275	0.0	-14.934200286865234	3	-181.82200622558594	-67.7013931274414	-9.492422103881836
64.188	75.34479522705078	0.7969387769699097	0.0	-14.640549659729004	3	-180.74842834472656	-67.60810852050781	-9.225942611694336
64.212	75.58445739746094	0.8009183406829834	0.0	-14.262999534606934	3	-179.96371459960938	-67.54021453857422	-9.036262512207031
64.245	75.88955688476562	0.803928554058075	0.0	-13.591800689697266	3	-178.87901306152344	-67.4447021484375	-8.7830171585083
64.278	76.15153503417969	0.8098978996276855	0.0	-13.004500389099121	3	-177.78817749023438	-67.34684753417969	-8.539206504821777
64.299	76.36567687988281	0.8158673048019409	0.0	-12.79474925994873	3	-177.09072875976562	-67.28411865234375	-8.388907432556152
64.332	76.59429168701172	0.8258673548698425	0.0	-12.626949310302734	3	-175.9898681640625	-67.18489074707031	-8.160128593444824
64.365	76.80928802490234	0.8368367552757263	0.0	-12.417200088500977	3	-174.88389587402344	-67.086669921875	-7.939269065856934
64.389	76.90885162353516	0.8497448563575745	0.0	-12.165499687194824	3	-174.0770721435547	-67.01773834228516	-7.782528400421143
64.422	77.22343444824219	0.8577551245689392	0.0	-11.87185001373291	3	-172.962890625	-66.92582702636719	-7.5725178718566895
64.455	77.5424575805664	0.8696938753128052	0.0	-11.284549713134766	3	-171.84262084960938	-66.835205078125	-7.369132995605469
64.479	77.75375366210938	0.8736734390258789	0.0	-10.739200592041016	3	-171.02420043945312	-66.76986694335938	-7.225471496582031
64.512	78.0370864868164	0.8836734294891357	0.0	-9.94214916229248	3	-169.89407348632812	-66.68047332763672	-7.034097671508789
64.533	78.20448303222656	0.8836734294891357	0.0	-9.39680004119873	3	-169.17213439941406	-66.62366485595703	-6.916083812713623
64.566	78.48348236083984	0.8866326212882996	0.0	-8.725600242614746	3	-168.03338623046875	-66.53463745117188	-6.736423969268799
64.59	78.70282745361328	0.8876530528068542	0.0	-8.473899841308594	3	-167.2017822265625	-66.46947479248047	-6.610274314880371
64.623	79.00288391113281	0.8965816497802734	0.0	-8.473899841308594	3	-166.05360412597656	-66.37884521484375	-6.442873954772949
64.644	79.20305633544922	0.8985713720321655	0.0	-8.473899841308594	3	-165.320068359375	-66.3204345703125	-6.339925765991211
64.677	79.49620819091797	0.9055612087249756	0.0	-8.599749565124512	3	-164.16311645507812	-66.22701263427734	-6.183600902557373
64.701	79.71417999267578	0.9075509905815125	0.0	-8.93535041809082	3	-163.31849670410156	-66.1582260131836	-6.073688507080078
64.734	80.01429748535156	0.9095408320426941	0.0	-9.85824966430664	3	-162.15274047851562	-66.0634536743164	-5.926939964294434
64.767	80.29846954345703	0.9185203909873962	0.0	-10.823099136352539	3	-160.9820556640625	-65.96826171875	-5.784959316253662
64.788	80.4669189453125	0.9235204458236694	0.0	-11.49429988861084	3	-160.23471069335938	-65.90792846679688	-5.696846008300781
64.812	80.69412994384766	0.9264796376228333	0.0	-12.081600189208984	3	-159.37811279296875	-65.83936309814453	-5.598232746124268
64.845	80.98624420166016	0.9354591369628906	0.0	-12.501100540161133	3	-158.19598388671875	-65.74528503417969	-5.4665350914001465
64.878	81.30245971679688	0.9444387555122375	0.0	-12.668900489807129	3	-157.00872802734375	-65.6524658203125	-5.339141368865967
64.899	81.50716400146484	0.9543877243995667	0.0	-12.920600891113281	3	-156.25038146972656	-65.5945053100586	-5.260242938995361
64.923	81.7204360961914	0.9623469114303589	0.0	-13.046449661254883	3	-155.3811798095703	-65.52910614013672	-5.1723127365112305
64.956	81.97381591796875	0.9723469018936157	0.0	-12.962550163269043	3	-154.18212890625	-65.44108581542969	-5.055308818817139
64.977	82.14881896972656	0.9793367385864258	0.0	-12.878649711608887	1	-153.416748046875	-65.38632202148438	-4.983312606811523
65.01	82.03875732421875	0.9783163070678711	0.0	-12.291349411010742	1	-152.2136688232422	-65.30136108398438	-4.875381946563721
65.034	81.95661163330078	0.9882652759552002	0.0	-11.78795051574707	1	-151.33937072753906	-65.23993682861328	-4.801279067993164
65.067	81.84587097167969	0.9912754893302917	0.0	-11.158699989318848	1	-150.1381072998047	-65.15580749511719	-4.705585956573486
65.088	82.0108413696289	0.9962754845619202	0.0	-10.990900039672852	4	-149.37307739257812	-65.10214233398438	-4.648237228393555
65.121	82.15319061279297	0.9962754845619202	0.0	-10.697250366210938	4	-148.16758728027344	-65.01731872558594	-4.563394069671631
65.145	82.37324523925781	1.0	0.0	-10.613349914550781	4	-147.28860473632812	-64.95561218261719	-4.505684852600098
65.178	82.68805694580078	1.0	0.0	-10.445549011230469	4	-146.07569885253906	-64.87076568603516	-4.431491851806641
65.199	82.88623809814453	1.0	0.0	-10.319700241088867	4	-145.30123901367188	-64.81671905517578	-4.3874640464782715
65.223	83.12236785888672	1.0	0.0	-10.277750015258789	4	-144.4136199951172	-64.75494384765625	-4.340174198150635
65.256	83.44354248046875	1.0	0.0	-10.235799789428711	4	-143.188720703125	-64.67022705078125	-4.2802653312683105
65.277	83.64088439941406	1.0	0.0	-10.235799789428711	4	-142.40664672851562	-64.61693572998047	-4.245014190673828
65.31	83.93639373779297	1.0	0.0	-10.235799789428711	4	-141.17373657226562	-64.5345230102539	-4.19389533996582
65.334	84.13243865966797	1.0	0.0	-10.235799789428711	4	-140.27430725097656	-64.4757308959961	-4.159933090209961
65.355	84.3202133178711	1.0	0.0	-10.193849563598633	4	-139.48533630371094	-64.42487335205078	-4.132538795471191
65.388	84.64493560791016	1.0	0.0	-9.984099388122559	4	-138.2415771484375	-64.34539031982422	-4.094164848327637
65.412	84.89227294921875	1.0	0.0	-9.648500442504883	4	-137.333740234375	-64.28752899169922	-4.070145606994629
65.445	85.21115112304688	1.0	0.0	-9.270950317382812	4	-136.08119201660156	-64.20783996582031	-4.042668342590332
65.466	85.41046905517578	1.0	0.0	-9.061199188232422	4	-135.28164672851562	-64.1572494506836	-4.028409004211426
65.49	85.63089752197266	1.0	0.0	-8.851449966430664	4	-134.36553955078125	-64.09964752197266	-4.015115737915039
65.523	85.92041778564453	1.0	0.0	-8.389999389648438	4	-133.1020965576172	-64.02095794677734	-4.0018391609191895
65.544	86.10693359375	1.0	0.0	-7.886600017547607	4	-132.29579162597656	-63.97104263305664	-3.9963653087615967
65.565	86.3054428100586	1.0	0.0	-7.425149917602539	4	-131.48765563964844	-63.9212646484375	-3.9931390285491943
65.601	86.6648941040039	1.0	0.0	-6.879799842834473	4	-130.09762573242188	-63.83729553222656	-3.992375373840332
65.622	86.86912536621094	1.0	0.0	-6.963699817657471	4	-129.28408813476562	-63.78907775878906	-3.994690179824829
65.643	87.04115295410156	1.0	0.0	-6.963699817657471	4	-128.46881103515625	-63.74153518676758	-3.99894118309021
65.676	87.32576751708984	1.0	0.0	-7.005650043487549	4	-127.18421936035156	-63.66840362548828	-4.009429454803467
65.7	87.54810333251953	1.0	0.0	-6.879799842834473	4	-126.24723052978516	-63.6158447265625	-4.020155906677246
65.721	87.7571792602539	1.0	0.0	-6.837850093841553	4	-125.4253158569336	-63.56989288330078	-4.031802654266357
65.745	87.99957275390625	1.0	0.0	-6.62809944152832	4	-124.48359680175781	-63.517208099365234	-4.047877788543701
65.778	88.30994415283203	1.0	0.0	-6.5022501945495605	4	-123.18482971191406	-63.443885803222656	-4.074967861175537
65.799	88.50526428222656	1.0	0.0	-6.5022501945495605	4	-122.35607147216797	-63.396873474121094	-4.095046520233154
65.823	88.7353286743164	1.0	0.0	-6.5022501945495605	4	-121.4066390991211	-63.343345642089844	-4.120462894439697
65.856	89.03720092773438	1.0	0.0	-6.5022501945495605	4	-120.0972900390625	-63.27046585083008	-4.159397125244141
65.877	89.215576171875	1.0	0.0	-6.5022501945495605	4	-119.26190185546875	-63.22492599487305	-4.186328887939453
65.901	89.41915893554688	1.0	0.0	-6.5022501945495605	4	-118.30513000488281	-63.173851013183594	-4.219054698944092
